"INSTANCE","DENSITY","MAX_DEG","MIN_DEG","DEF","DEG","COL_DEG","UNCOL_DEG","BEST","ORACLE"
"random_100_25_25.vcp",0.263,0.4,0.12,7,7,6,6,"COL_DEG",6
"random_100_25_50.vcp",0.24,0.36,0.1,9,8,8,7,"UNCOL_DEG",7
"random_100_50_25.vcp",0.497,0.72,0.32,10,8,8,10,"COL_DEG",8
"random_100_50_50.vcp",0.522,0.68,0.38,14,13,14,14,"DEG",13
"random_100_75_25.vcp",0.687,0.8,0.56,10,10,10,11,"COL_DEG",10
"random_100_75_50.vcp",0.746,0.86,0.6,21,19,19,20,"COL_DEG",19
"random_10_25_25.vcp",0.24,0.36,0.04,6,6,5,6,"COL_DEG",5
"random_10_25_50.vcp",0.233,0.4,0.12,8,8,8,8,"DEF",8
"random_10_50_25.vcp",0.497,0.72,0.2,9,8,8,9,"DEG",8
"random_10_50_50.vcp",0.531,0.72,0.34,15,14,14,13,"UNCOL_DEG",13
"random_10_75_25.vcp",0.743,0.84,0.52,12,11,10,13,"COL_DEG",10
"random_10_75_50.vcp",0.769,0.84,0.62,21,19,18,19,"COL_DEG",18
"random_11_25_25.vcp",0.273,0.4,0.12,6,6,6,7,"DEF",6
"random_11_25_50.vcp",0.247,0.34,0.1,9,8,8,8,"COL_DEG",8
"random_11_50_25.vcp",0.483,0.68,0.28,9,8,8,9,"DEG",8
"random_11_50_50.vcp",0.518,0.7,0.34,15,12,13,14,"DEG",12
"random_11_75_25.vcp",0.713,0.88,0.48,12,12,12,13,"COL_DEG",12
"random_11_75_50.vcp",0.75,0.88,0.58,19,18,19,19,"DEG",18
"random_12_25_25.vcp",0.233,0.36,0.12,5,5,6,6,"DEF",5
"random_12_25_50.vcp",0.24,0.32,0.12,8,8,8,7,"UNCOL_DEG",7
"random_12_50_25.vcp",0.497,0.6,0.28,9,8,7,7,"UNCOL_DEG",7
"random_12_50_50.vcp",0.508,0.66,0.38,14,14,13,14,"COL_DEG",13
"random_12_75_25.vcp",0.747,0.84,0.56,11,11,11,12,"DEF",11
"random_12_75_50.vcp",0.751,0.88,0.6,21,20,19,20,"COL_DEG",19
"random_13_25_25.vcp",0.267,0.36,0.12,6,6,6,7,"DEG",6
"random_13_25_50.vcp",0.241,0.4,0.12,10,8,8,8,"UNCOL_DEG",8
"random_13_50_25.vcp",0.477,0.68,0.28,8,8,8,9,"COL_DEG",8
"random_13_50_50.vcp",0.504,0.64,0.36,14,13,13,12,"UNCOL_DEG",12
"random_13_75_25.vcp",0.72,0.84,0.48,15,12,12,11,"UNCOL_DEG",11
"random_13_75_50.vcp",0.757,0.86,0.62,21,20,21,21,"DEG",20
